Item,თარგმანი
cal. kit tur 1050/60 0.02/10/,წყლის სიმღვრივის საკალიბრო კიუვეტების ნაკრები
calibration set - trübungsstandard 500m,წყლის სიმღვრივის საკალიბრო კიუვეტების ნაკრები
measuring cuvette for ultrasonic cleaning,წყლის სიმღვრივის საკალიბრო კიუვეტების ნაკრები
"Stablcal Stabilised Formazine Turbidity Standard, 20 NTU, 100 mL",სტაბილიზებული ფორზამინის ტურბიდობის სტანდარტი
"Silica Reagent Set, Bulk Solution, 3-1000 µg/L SiO₂",რეაგენტი დაბ.კონც. სილიციუმის განსაზღვრისთვის
"Silica Reagent Set, 1-100 mg/L SiO₂",რეაგენტი მაღ.კონც. სილიციუმის განსაზღვრისთვის
"Stablcal Stabilised Formazine Turbidity Standard, ˂0.1 NTU, 100 mL",სტაბილიზებული ფორზამინის ტურბიდობის სტანდარტი
"Sample Cell: 1"" Square Glass 10 mL matched pair", მინის ნიმუშის უჯრედი 10 მლ შესაბამისი წყვილი
"Phosphate (Ortho/Total) cuvette test 0.05-1.5 mg/L PO₄-P, 25 tests",ფოსფატის (ორთო/სულ) განსაზღვრის კუვეტის ტესტი
კოვზი სპატულები ბრტყელი სახელურით,"spoon spatulas with flat handle, 30 mm, 210 m"
"Dissolved Oxygen
Reagent Accuvac
Ampules, 0.3-15.0 mg/L
O₂",გახსნილი ჟანგბადის რეაგენტის Accuvac ამპულები
ბრტყელი ანტენის ფიქსაცია,flat antenna 4g/3g/2g fix mounting 1m sma (m)
"Reducing Solution, ORP Electrodes
",წყალში ჟაპ-ის შესაცირებელი სტანდარტული ხსნარი
"Polyvinyl alcohol dispersing agent, SCDB, 50 mL",პოლივინილ ალკოჰოლის გამანაწილებელი საშუალება
საკალიბრაციო ტაბლეტები ოქსიტოპის აპარატისთვის,WTW 209333 OxiTop® PM 10 Calibration Tablets
"Filling Solution, Reference, 3 M KCl with AgCl, 28 mL",ელექტროდის შემავსებელი ხსნარი KCl AgCl-ერთად
"Dissolved Oxygen Reagent Accuvac Ampules, 6-800 µg/L O₂",დაშლილი ჟანგბადის რეაგენტის Accuvac ამპულები
Quality control,წყლის სიხისტის განსაზღვრის სტანდარტული ტესტი
Applied Membranes Inc. Silt Density Index Water-Testing Kit,"ლამის ინდექსის ტესტი, წყლის ლაბორატორიისთვის"
Special ventilation JUNG,მილზე დასამაგრებელი სავენტილაციო მოწყობილობა
Intellical ISENA381,ინტელექტუალური ნატრიუმის შერჩევითი ელექტროდი
"Sampling bag, sterile 
with dechlorinating 
agent, 100 mL, 100 
pcs","ნიმუშების ტომარა, სტერილური დექლორირებისთვის"
" Intellical ISENA381 
Sodium (Na⁺) Ion 
Selective Electrode 
(ISE), 1 m cable",ინტელექტუალური ნატრიუმის შერჩევითი ელექტროდი
"Silver nitrate digital titrator cartridge, 1.128 N, 1 piece",ვერცხლის ნიტრატის ციფრული ტიტრატორი კარტრიჯი
Thermostat cabinet for BOD Direct Plus,თერმოსტატური კაბინეტი BOD Direct Plus-სთვის.
Mercuric thiocyanate solution,ვერცხლისწყლის თიოციანატის სტანდარტული ხსნარი
აურინის ტრიკარბოქსილის მჟავას ამონიუმის მარილი,"aurin tricarboxylic acid ammonium salt, 10 g"
sample spatula steriplast® without lid,"სტერილური ნიმუშის სპატულა, სახურავის გარეშე"
Intellical PHC725 Laboratory Low Ionic Strength Media RedRod Refillable Glass pH Electrode with Calibration and Maintenance Reagents Pack,ნაკრები: ელექტროდი და სტანდარტული ხსნარები 
DR/Check Absorbance Standard Kit,DR/შემოწმების შთანთქმის სტანდარტული ნაკრები
"Sulfuric acid cartridge for digital titrator, 0.1600 N",გოგირდის მჟავას კარტრიჯი ციფრული ტიტრისთვის
ძლიერი საწყლოს ბუი,rugged buoy (does not include marine light)
"Laton Total Nitrogen cuvette test 100-250 mg/L TN, 25 tests",სრული აზოტი (Total Nitrogen) კიუვეტის ტესტი
"Total Nitrogen Reagent B Powder Pillows, pk/50","სრული აზოტის რეაგენტის B ფხვნილის პაკეტები,"
sensofit imm 2000,წყლის სიმღვრივის მზომი ინსტრუმენტის სამაგრი
Citric Acid Reagent Powder Pillows,ციტრინის მჟავის რეაგენტის ფხვნილის ბალიშები
Phosphate (Ortho,წყალში ფოსფატების შემცველობის ტესტ რეაგენტი
"Water Hardness cuvette test 1-20 °dH, 25 tests",წყლის სიხისტის განმსაზღვრელი კიუვეტის-ტესტი
"optisonic 3400 c, dn 250 pn 25",ულტრაბგერითი დინების გაზომვის ინსტრუმენტები
"Magnesium cuvette test 0.5-50 mg/L Mg, 25 tests",წყალში მაგნიუმის განსაზღვრის ტესტ-კიუვეტები
Sulphate cuvette test,წყალში სულფატების შემცველობის ტესტ რეაგენტი
"Silica Reagent Set,",სილიციუმის განმსაზღვერი რეაგენტების ნაკრები
"HQ1110 Portable pH/ORP/mV Meter with Gel pH Electrode PHC201, 1 m Cable","HQ1110 პორტატული pH მეტრი, PHC201 ელექტროდი"
"Intellical MTC101 Field Low Maintenance Gel Filled ORP/RedOx Electrode, 5 m Cable","საველე გამოყენების დაბალი მოვლის, ელექტროდი"
კალიუმის იოდატი,"potassium iodate, 
100 g ≥99 %, extra 
pure"
ნატრიუმის ოქსალატი,"di-sodium oxalate, 500 g ≥99,5 %, p.a., acs"
Set of StablCal primary calibration standards,პირველადი კალიბრაციის სტანდარტების ნაკრები
"Sension+ PH3 Laboratory pH and ORP Meter with Electrode Stand, Magnetic Stirrer and Accessories with pH Electrode for General Applications",ლაბორატორიული წყლის მჟავური ბალანსის მზომი
"Laton Total Nitrogen cuvette test 1-16 mg/L TN, 25 tests",საერთო აზოტის განმსაზღვრელი ტესტ-კიუვეტები
"Laton Total Nitrogen cuvette test 20-100 mg/L TN, 25 tests",საერთო აზოტის განმსაზღვრელი ტესტ-კიუვეტები
"Set of StablCal primary calibration standards (20, 100, 800 FNU), 10 FNU",პირველადი კალიბრაციის სტანდარტების ნაკრები
"ნატრიუმის სალიცილატი,","sodium salicylate, 500 g ≥98 %, extra pure"
Alkaline Cyanide Reagent Solution,ტუტე ციანიდის რეაგენტის სტანდარტული ხსნარი
საწყლოს ბუის აქსესუარი,solar marine light - rugged buoy accessory
Aqua TROLL წყლის ჟანგბადის სენსორი,aqua troll rdo sensor (includes rdo-x cap)
"Sulphate Reagent Powder Pillows, 2-70 mg/L SO",წყალში სულფატების განმსაზღვრავი რეაგენტები
"Phosphonate Reagent Set,",ფოსფატის განმსაზღვრელი რეაგენტების ნაკრები
"Singlet Single-use Conductivity Standard Solution, 1413 µS/cm, KCl, 20 mL",გამტარიანობის სტანდარტული ხსნარის კილიტები
"Small Plastic Lens, Replacement, 2100N/2100AN Turbidimeter","ლინზა, სათადარიგო ნაწილი ტურბიდიმეტრისთვის"
"Phenols cuvette test 0.05-5.0 mg/L, 24 tests
",წყალში ფენოლის განსაზღვირის ტესტ-კიუვეტები
Manganese reagent set 0.2-5 mg/L / 0.02-1.0 mg/L Mn,წყალში მანგანუმის განსაზღვრის ტესტ-კიუვეტა
"Chloride cuvette test 1-70 mg/L / 70-1000 mg/L Cl, 24 tests",წყალში ქლორიდების განმსაზღვრავი რეაგენტები
ნატრიუმის სალიცილატი,"sodium salicylate, 500 g ≥98 %, extra pure"
Aqua TROLL სენსორი ტემპერატურისა და გამტარიანობის (ელექტროლიტური კონდუქტივობის) მისაღებად,aqua troll temperature/conductivity sensor
მოდემი,4g/3g/2g modem din rail rs232 incl. cable
"Chlorine, total, Reagent","ქლორი, სრული, რეაგენტის ფხვნილის ბალიშები"
Phenyl phosphate disodium salt hydrate,ფენილფოსფატის დინატრიუმის მარილის ჰიდრატი
"Amino Acid F reagent solution, 100 mL","ამინო მჟავების F რეაგენტის ხსნარი, 100 მლ"
Basic kit for intermediate maintenance for 6110 V3,მომსახურების ნაკრები ჯანგბადის მზომისთვის
Basic kit for annual maintenance for 6110 V3,მომსახურების ნაკრები ჯანგბადის მზომისთვის
ანტიფაუუინგი შეზღუდვის მილი Aqua TROLL 700/800 სონდისთვის,aqua troll 700/800 antifouling restrictor
თერმოიგრომეტრი testo 622 ბარომეტრით,thermohygrometer testo 622 with barometer
"Chlorine, total, Reagent
Powder Pillows, 100/pk,
10 mL","ქლორი, სრული, რეაგენტის ფხვნილის ბალიშები"
Consumables kit for 6110 V3,მომსახურების ნაკრები ჯანგბადის მზომისთვის
"Stablcal Stabilised Formazine Turbidity Standard, ˂0.1 NTU, 500 mL",სტაბილური ფორმაზინის ტურბიდობის სტანდარტი
"Anionic Surfactants, cuvette test 0.1 - 4.0 mg/L, 25 tests",ანიონური ზედაპირულად აქტიური ნივთიერებები
"Stablcal Stabilised Formazine Turbidity Standard, 20 NTU, 500 mL",სტაბილური ფორმაზინის ტურბიდობის სტანდარტი
"Chloride Reagent Set,","ქლორიდის განსაზღვრის რეაგენტების ნაკრები,"
"დაბალი ფორმის, 2000 მლ ზომის ჭიქა","beaker rotilabo®
simax low form, 2000
ml"
"Sulphide cuvette test 0.1-2.0 mg/L S2-, 25 tests",ფსულფიდების განმსაზღვრელი ტესტ-კიუვეტები
ტუმბოს აქსესუარი სადგამი,base frame 820x350x60 xboost2 vdroo32-90
"fume hood for washing dishes and equipment, master 1500x860x2300, 1 sink",გამწოვი ჭურჭლისა და ტექნიკის რეცხვისთვის
"Hardness (Calcium) Reagent Set, HR, Digital Titrator",სიხისტის (კალციუმის) რეაგენტების ნაკრები
Free Chlorine DPD Reagent Powder Pillows,თავისუფალი ქლორის განმსაზღვრელი რეაგენტი
Porphyrin 1 Reagent Powder Pillows,"პორფირინის 1 რეაგენტი, ფხვნილის ბალიშები"
ცვეთად რგოლების კომპლექტი,"wear rings kit 475. including: 276, 277."
cyanide reagent test 585 nm,ციანიდის განმსაზღვრელი რეაქტივის ნაკრები
Singlet Single-use Conductivity Standard Solution,Stablcal amp’ulis k’alibratsiis nak’rebi
Solenoid valve for needle extension,სოლენოიდური ვალვო ნემსის გაფართოებისთვის
Porphyrin 2 Reagent Powder Pillows,პორფირინი 2 რეაგენტის ფხვნილის ბალიშები.
StablCal® Calibration Set,სიმღვრივის აპარატის საკალიბრაციო ნაკრები
KTO: STABLCAL KIT,სიმღვრივის აპარატის საკალიბრაციო ნაკრები
Conductivity,ელექტრო გამტარიანობის სტანდარტული ხსნარი
"phosphorus pentoxide 1
min. 99 %, powdered","ფოსფორის პენტოქსიდი 1, მინ. 99%, ფხვნილი"
Type 3725 Electropneumatic Positioner,ელექტროპნევმატური პოზიციის განმსაზღვრელი
"უნივერსალური, რეზინის მსხალი",pipetting ball rotilabo® universal model
წყლის დონის მრიცხველი,optisound 3020 c 55khz ultrasonic sensor
"HQ4200 Portable Multi-Meter, pH, Conductivity, TDS, Salinity, Dissolved Oxygen (DO), ORP, and ISE, 2 channels, w/o electrodes",HQ4200 მობილური მრავალპარამეტრიანი მეტრი
DR3900 Spectrophotometer without RFID* Technology,სპექტრაფოტომეტრი RFID ტექნოლოგიის გარეშე
"Laton Total Nitrogen cuvette test 5-40 mg /L TN, 25 tests",წყალში აზოტის შემცველობის ტესტ რეაგენტი
Titration Application Pack Food & Beverage,ავტომატური ტიტრატორის ნაწილების ნაკრები
"Nitrate cuvette test 5-35 mg/L NO₃-N, 25 tests",ნიტრატების განმსაზღვრელი ტესტ-კიუვეტები
"Oxygen Scavenger Reagent Set,",ჟანგბადის გამწმენდი რეაგენტების ნაკრები
"Iron cuvette test 0.2- 6.0 mg/L Fe, 25 tests",წყალში რკინის შემცველობის ტესტ რეაგენტი
" Oxygen Scavenger 
Reagent Set, 3-450µg/L 
DEHA","ჟანგბადის გამწმენდი
რეაგენტების ნაკრები"
ტუმბოს აქსესუარი(სადგამი),base frame 660x290x46 xboost2 vdroo1-20
"ინდიკატორი ტუტე ცისფერი, 6B","alkali blue 6b (c.i. 42765), 100 g p.a."
"სახამებელი კარტოფილიდან, ხსნადი ","starch from potato, soluble 1
p.a., acs"
optimass mfs 7000 80t,წონასწორობის ან მასის გაზომვის სისტემის
"Nitrate cuvette test 0.23-13.5 mg/L NO₃-N, 25 tests",ნიტრატების განმსაზღვრელი ტესტ-კიუვეტები
"Nitrite cuvette test 0.015- 0.6 mg/L NO₂-N, 25 tests",ნიტრიტების განმსაზღვრელი ტესტ-კიუვეტები
3725 sc Digital inductive conductivity sensor,  ციფრული ინდუქციური გამტარობის სენსორი
"Digital titrator cartridge, sulfuric acid, 1.600 N, 1 piece","ციფრული ტიტრატორი კარტრიჯი, გოგირდმჟავა"
"Boron cuvette test 0.05-2.5 mg/L B, 25 tests",ნიტრატების განმსაზღვრელი ტესტ-კიუვეტები
"Sension+ platinum ORP/RedOx electrode 5261, screw cap S7.","პლატინის ელექტოდი, ხრახნიანი თავსახურით"
"Chromium (III and VI) cuvette test 0.03-1.0 mg/L Cr, 25 tests",წყალში ქრომის შემცველობის ტესტ რეაგენტი
Ammonia Reagent Set,ამიაკის განსაზღვრის რეაგენტების ნაკრები
Mercury(II) nitrate monohydrate,ვერცხლისწყლის (ii) ნიტრატის მონოჰიდრატი
Automatic Self-Cleaning Filter,"ფილტრი, მექანიკური, თვითრეცხვის რეჟიმით"
"Phosphate (ortho/total) cuvette test 2.0 -20.0 mg/L PO₄-P, 25 tests",ფოსფატების განმსაზღვრელი ტესტ-კიუვეტები
"Digital extension cable for SC sensors, 10m",ციფრული გრძელი კაბელი SC სენსორებისთვის
"Iron standard solution 100.0 mg/L Fe (NIST), 100 mL",ზუსტი კონცენტრაციის მქონე რკინის ხსნარი
"Phosphate Ortho/Total cuvette test 0.5-5.0 mg/L PO₄-P, 25 tests",ფოსფატების განმსაზღვრელი ტესტ-კიუვეტები
"Ammonium cuvette test 0.015-2.0 mg/L NH₄-N, 25 tests",ამონიუმის განმსაზღვრელი ტესტ-კიუვეტები
გამაცხელებელი და მაგნიტური შემრევი,heating and magnetic stirrer shp-200-c
"Chlorine, total, Reagent Powder Pillows, 100
/pk, 10 mL",წყალში ქლორის განმსაზღვრავი რეაგენტები
"COD cuvette test 5-60 mg/L O₂, 25 tests
",წყალში ჟქმ განსაზღვირის ტესტ-კიუვეტები
ammonia no.1 tablets bt,ამონიუმის განმსაზღვრელი რეაქტივი -T- 1
020010491xg16010037,OPTICHECK    Master V4+Case+Tablet    
Molybdate Reagent Powder Pillows,მოლიბდატის რეაგენტის ფხვნილის ბალიშები
"Ammonium cuvette test 47-130 mg/L NH₄-N, 25 tests",ამონიუმის განმსაზღვრელი ტესტ-კიუვეტები
"Ammonium cuvette test 2.0-47.0 mg/L NH₄-N, 25 tests",ამონიუმის განმსაზღვრელი ტესტ-კიუვეტები
"Quality control standard hardness, low range, 500 mL",ხარისხის კონტროლის სტანდარტული სიხისტე
"Ammonium cuvette test 1.0-12.0 mg/L NH₄-N, 25 tests",ამონიუმის განმსაზღვრელი ტესტ-კიუვეტები
სტანდარტული ხსნარი,"scandium icp standard solution, 100 ml"
უნივერსალური თერმომეტრი,"all-purpose thermometer, -30 to +50 °c"
"Magnesium cuvette test 0.5-50 mg/L Mg,",მაგნიუმის განმსაზღვრელი ტესტ-კიუვეტები
ელექტრონული ბარათი,electric card - for star valve alfa 30
"COD cuvette test 50-300 mg/L O₂, 25 tests
",წყალში ჟქმ განსაზღვირის ტესტ-კიუვეტები
"Iron cuvette test 0.2-6.0 mg/L Fe, 25 tests",წყალში რკინის განმსაზღვრავი რეაგენტები
"SENSION+ 3x50 mL printed flasks for benchtop pH meter calibration, EU",ხსნარის მარკირებული პლასტმასის ჭიქები
Phosphate Ortho/Total,ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
"Chloride Low Range Test Kit, Model 8-P","ქლორიდის დაბალი დიაპაზონის ტესტ კიტი,"
Molybdovanadate Reagent Solution,მოლიბდოვანადატის განსაზღვრის რეაგენტი
ammonia no. 2 - tablet reagents,ამონიუმის განმსაზღვრელი რეაქტივი -T-2
Phosphate (ortho/total),ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
კონტროლერი და ელექტროდი,control 42 with ph and orp electrodes
SENSION+ 3x50 mL printed flasks for benchtop conductivity calibration,ხსნარის მარკირებული პლასტმასის ჭიქები
Chloride cuvette test,ქლორიდების განმსაზღვრელი ტესტ კიუვეტა
"Dissolved Oxygen Reagent Accuvac Ampules, 0.3-15.0 mg/L O₂",გახსნილი ჟანგბადის რეაგენტის ამპულები
"Singlet Single-Use pH Buffer, pH 7.00, pk/20",ერთჯერადი გამოყენების ბუფერული ხსნარი
"Singlet Single-Use pH Buffer, pH 10.01, pk/20",ერთჯერადი გამოყენების ბუფერული ხსნარი
"Phosphate (Ortho /Total) cuvette test 0.05-1.5 mg/L PO₄-P, 25 tests",ფოსტაბის განმსაზღვრელი ტესტ-კიუვეტები
Phosphate (Ortho/Total) cuvette test,საერთო პოსფატების განსაზღვრის ნაკრები
"Phosphate (ortho/total)
cuvette test 2.0 -20.0
mg/L PO₄-P, 25 tests",ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
"Aluminum cuvette test 0.02-0.5 mg/L Al, 24 tests",ალიმინის განმსაზღვრელი ტესტ-კიუვეტები
"heating and magnetic stirrers arec 7 series arec 7 digital model, complete set from velp",გათბობის და მაგნიტური მორევის აპარატი
ელექტრო აქტივატორი,"electric actuator ltr43-2 dn150, pn16"
მართვის პანელი,gpg 900 step screen control panel plc
ვერცხლის ნიტრატი,"silver nitrate, 10 g ≥98 %, technical"
"CuVer 1 Copper Reagent Powder Pillows, 0.04-5.00mg/L Cu, pk/100",სპილენძის რეაგენტის ფხვნილის ბალიშები
Phosphate (Ortho/Total),ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
"Polyvinyl alcohol 
dispersing agent, SCDB, 
50 mL","პოლივინილის სპირტი
დისპერსიული აგენტი"
"Nickel trace cuvette test 0.05-1.0 mg/L Ni, 20 tests",ნიცკელის განმსაზღვრელი ტესტ-კიუვეტები
Acid Reagent Powder Pillows for HR Silica,მჟავოვანი რეაგენტის ფხვნილის ბალიშები
"Phosphate (Ortho/Total)
cuvette test 0.05-1.5
mg/L PO₄-P, 25 tests",ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
"Phosphate Ortho/Total
cuvette test 0.5-5.0 mg
/L PO₄-P, 25 tests",ფოსფატის (ორთო/მთლიანი) კუვეტის ტესტი
"Nickel trace cuvette test 0.05-1.0 mg/L Ni,",ნიცკელის განმსაზღვრელი ტესტ-კიუვეტები
Solitax t-line sc with wiper,Solitax t-line sc საწმენდი მექანიზმით
"Free Chlorine Reagent Powder Pillows, DPD (pk/100)",წყალში ქლორის განსაზღვრის რეაგენტები
Addista Multi parameter standard solution LCA700,Addista მრავალპარამეტრიანი სტანდარტი
Addista Multi parameter standard solution LCA704,Addista მრავალპარამეტრიანი სტანდარტი
Addista Multi parameter standard solution LCA703,Addista მრავალპარამეტრიანი სტანდარტი
Addista Multi parameter standard solution LCA705,Addista მრავალპარამეტრიანი სტანდარტი
Addista Multi parameter standard solution LCA709,Addista მრავალპარამეტრიანი სტანდარტი
cr-07 roti®star,ICP Multi-Element Standard Solution 
Addista Multi parameter standard solution LCA708,Addista მრავალპარამეტრიანი სტანდარტი
Cobalt / Nickel Reagent Set,კობალტის/ნიკელის რეაგენტების ნაკრები
cr-08 roti®star,ICP Multi-Element Standard Solution 
cr-10 roti®star,ICP Multi-Element Standard Solution 
cr-09 roti®star,ICP Multi-Element Standard Solution 
NitriVer 3 Nitrite Reagent Powder Pillows,ნიტრიტის რეაგენტის ფხვნილის ბალიშები
"Nitrate Reagent Powder Pillows, 0.3-30mg/L NO₃-N",ნიტრატის რეაგენტის ფხვნილის ბალიშები
"silver nitrate solution, 1 l",ვერცხლის ნიტრატის სტანდარტული ხსნარი
"Reagent Set, Powder Pillows, 0.002-0.240 mg/L CN","რეაგენტის ნაკრები, ფხვნილის ბალიშები"
Laton Total Nitrogen,ლატონის მთლიანი აზოტის კუვეტის ტესტი
"Laton Total Nitrogen
cuvette test 5-40 mg/L
TN, 25 tests",ლატონის მთლიანი აზოტის კუვეტის ტესტი
"Manganese Reagent Set, PAN, 0.006-0.700mg/L Mn",წყალში მანგანუმის აღმომჩენი რეაგენტი
Water Hardness,წყლის სიხისტის განმსაზღვრელი ნაკრები
"Laton Total Nitrogen
cuvette test 1-16 mg/L
TN, 25 tests",ლატონის მთლიანი აზოტის კუვეტის ტესტი
"Laton Total Nitrogen
cuvette test 20-100 mg
/L TN, 25 tests",ლატონის მთლიანი აზოტის კუვეტის ტესტი
"Nitrite Reagent Powder Pillows, 2-250 mg/L NO₂",ნიტრიტის რეაგენტის ფხვნილის ბალიშები
thermohygrometer testo 622 with barometer,თერმოჰიგრომეტრი testo 622 ბარომეტრით
"narrow mouth bottle aluminium with un approval, 500 ml","ალუმინის ბოთლი, ვიწრო ყელით, 500 მლ"
Laton Total Nitrogen cuvette test,საერთო აზოტის განმსაზღვრელი ნაკრები
Phosphate Reagent Powder Pillows 0.02-2.50mg/L PO₄,ფოსფატების განმსაზღვრელი რეაგენტები
"Chloride Reagent Set, 0.1-25.0 mg/L Cl⁻",ქლორიდების განმსაზღვრელი რეაგენტები
"Iron Reagent Powder Pillows, 0.02-3.00 mg/L Fe","რკინის რეაგენტის ფხვნილის ბალიშები,"
"Sample cell, 10 mm
square Quartz glass, 1
pcs",კვადრატული მინის საჩვენებელი უჯრედი
"Zinc cuvette test 0.2-6.0 mg/L Zn, 24 tests",ცინკის განმსაზღვრელი ტესტ-კიუვეტები
"Sample cell, 10 mm
rectangular, glass, pk/3",მართკუთხედი მინის საჩვენებელიუჯრედი
"Fluoride cuvette test 0.1-2.5 mg/L F, 25 tests",ფტორის განმსაზღვრელი ტესტ-კიუვეტები
"5500sc Silica Analyzer, 6 Channels, Reagents","სილიციუმის ანალიზატორი, რეაგენტების"
Sulphate Reagent,სულფატების განმსაზღვრელი რეაგენტები
"Iron color disc test kit, model IR-18B","რკინის (Fe) ფერის დისკით ტესტ კიტი,"
"Zinc cuvette test 0.2 6.0 mg/L Zn, 24 tests",ცინკის განმსაზღვრელი ტესტ-კიუვეტები
chloride t1 tablets bt,ქლორიდის განმსაზღვრელი რეაქტივი T-1
chloride t2 - tablet reagents,ქლორიდის განმსაზღვრელი რეაქტივი T-2
"Tube rack, MPN, stainless, use in portable incubator",უჟანგავი მასალის კიუვეტების სადგამი
"Nitrate Reagent Powder Pillows, 0.3 30mg/L NO₃-N",ნიტრატების განმსაზღვრელი რეაგენტები
"Phosphate (ortho/total) cuvette test 10-100 mg/L PO₄-P, 25 tests",ფოსფატი (ორთო/სრული) კიუვეტის ტესტი
"Sample cell, 10 mm",კვადრატული მინის საჩვენებელი უჯრედი
Ascorbic Acid Reagent Powder Pillows,ასკორბინის მჟავას ფხვნილის პაკეტები
"Anionic Surfactants, cuvette test 0.05-2.0 mg/L, 25 test",ანიონური სფერთანციფიკატორების ტესტი
"Installation armature, inline fitting, stainless steel, for Solitax inline sc and Solitax highline sc"," უჟანგავი ფოლადის სენსორის სამაგრი
"
დოზირების ერთეული,inj.unit 0300-10 pvc/v/c 4u3-30/120
"Test strips total hardness, 0-425 mg/L","ტესტ-ქაღალდი, საერთო სიხისტის მზომი"
"Nitrite cuvette test 0.015–0.6 mg/L NO₂-N, 25 tests","ნიტრიტის ტესტი, აზოტის შემცველობით"
"icp multi-element standard solution (28 elements, 100 mg/l)",მულტიელემენტური სტანდარტული ხსნარი
"Stablcal Turbidity Standards Calibration Kit, 0 - 4000 NTU",ტურბიდულობის კალიბრაციის კომპლექტი
"Natural Water Standard Solution, 1000 ppm Total Dissolved Solids (TDS), 500 mL",ბუნებრივი წყლის სტანდარტული ხსნარი
"Test kit, alkalinity, model AL-TA","ტესტ კიტი ტუტე რეაქციისთვის AL-AP,"
Basic kit for annual maintenance fo,ძირითადი ნაკრები წლიური მოვლისთვის
სერთიფიკატები მშენებლობა და დიზაინი,certificates construction & design
Molybdovanadate Reagent Solution (100 mL MDB),მოლიბდოვანადატის რეაგენტის ხსნარი 
Antifoam pump upgrade kit for 6110,ქაფის საწინააღმდეგო ტუმბოს ნაკრები
Antifoam recharge bottle 1L,ქაფის საწინააღმდეგო სითხე 1ლ ბოთლი
"Hardness (Total) Reagent Set, HR, Digital Titrator",სიხისტის (სულ) რეაგენტების ნაკრები
Sulphate Reagent Powder Pillows,სულფატების განმსაზღვრელი რეაგენტის
"ლაბორატორიული სკამი საზურგით, შავი","ლაბორატორიული სკამი საზურგით, შავი"
"Chromium Reagent Powder Pillows, 0.010-0.700mg/L Cr (VI)",ქრომის რეაგენტის ფხვნილის ბალიშები
Replacement halogen bulb for DR2700/DR2800/DR3800/Lico 500,სპექტროფოტომეტრის ჰაოგენის ნათურა
"Mineral stabiliser solution, 50 mL, SCDB",მინერალების სტაბილიზატორის ხსნარი
ქიმიური ჭიქა 250- 10ცალიანი შეკვრა,"beaker rotilabo® low form, 250 ml"
Phosphate Reagent Powder Pillows,ფოსფატების განმსაზღვრელი რეაგენტი
"Boron Reagent Powder Pillows, 0.2-14.0mg/L
B",ბორის რეაგენტის ფხვნილის ბალიშები
"Nessler Reagent Solution, 500mL","ნესლერის რეაგენტის ხსნარი, 500 მლ"
"Phosphate Reagent 
Powder Pillows 0.02
2.50mg/L PO₄","ფოსფატის რეაგენტი
პუდრის ბალიშები"
"Molybdovanadate 
Reagent Solution (100 
mL MDB)","მოლიბდოვანადატი
რეაგენტის ხსნარი "
" Free Chlorine Reagent 
Powder Pillows, DPD (pk
 /100)","ქლორის რეაგენტი
ფხვნილის ბალიშები"
pipette tip box rotilabo® for 1000 µl pipette tips,ყუთი 1000 µლ პიპეტის წვერებისთვის
"SC4500 Controller, Prognosys, LAN + Modbus RS, 2 digital Sensors, 100-240 VAC, without power cord","კონტროლერი,ციფრული სენსორებისთვის"
small centrifuge cd-0412-50,მინი-ცენტრიფუგა მცირე ტუბებისთვის
სელულარული ანტენა,vulink 4g/lte/2g cellular antenna
"HydraVer2 Hydrazine reagent solution, 4 - 600 µg/L, 100 mL",ჰიდრაზინის განმსაზრვრელი რეაგენტი
"Boron Reagent Powder Pillows, 0.2-14.0mg/L",ბორის რეაგენტის ფხვნილის ბალიშები
" დაბალი ფორმის, 100 მლ. ზომის ჭიქა","beaker rotilabo® low form, 100 ml"
"დაბალი ფორმის, 600 მლ ზომის ჭიქა","beaker rotilabo® low form, 600 ml"
"ქიმიური ჭიქა  ფაიფურის, 620 მლ","beaker rotilabo® low form, 620 ml"
"Fixed volume, Micropipette, 100 µl",ფიქსირებული მოცულობის მიკროპიპეტი
PhosVer 3 Phosphate Reagent Powder Pillows 0.02-2.50mg/L PO₄,ფოსფატების განმსაზღვრელი რეაგენტი
Protective Cover Replacement, ადაპტერის დამცავი გადასაფარებელი
ელექტრო სარქველის ძრავა,motor 6w - for star valve alfa 30
კაბელის შესაყვანი,"cable gland cg-m20x1,5-1.4404--0"
"Conductivity Standard Solution, 1413 µS/cm, KCl, 250 mL",გამტარებლობის სტანდარტული ხსნარი
Interne Ausgangskarte analog,შიდა ანალოგური გამომავალი ბარათი
"Reagent solution, amino acid F",ამინომჟავის განსაზღვრის რეაგენტი
Singlet Single-use,გამტარიანობის სტანდარტული ხსნარი
Nitrite cuvette test,ნიტრიტების განმსაზღვრელი ნაკრები
"precision balance pioneer® series internal calibration, legal for trade ec type approved, 320 g, 0.001 gfrom ohaus", Pioneer® სერიის შიდა კალიბრაცია
"vacuum filtration unit duran® 47 mm with ground joint, 500 ml",ვაკუუმური ფილტრაციის მოწყობილობა
" FerroZine Iron Reagent 
Solution Pillows, 0.009
1.400mg/L Fe","რკინის რეაგენტი
ხსნარის ბალიშები"
"pH Paper, 0 - 14 pH Range, 100 tests",წყალში pH მზომი - ტესტ ქაღალდები
